"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E520","2020-03-16 00:00:00","320.000","0.000","0.000","10.600","1.000","984.400","","0.000","-99.000","-99.000","-99.000","22.700","","9.800",""
"C0C460","2020-03-16 00:00:00","482.000","0.000","0.000","13.800","0.670","966.000","","0.000","-99.000","-99.000","-99.000","20.400","","10.200",""
"C0AI40","2020-03-16 00:00:00","37.000","-99.000","-99.000","16.800","0.520","1017.500","","0.000","-99.000","-99.000","-99.000","20.800","","13.600",""
"C0O930","2020-03-16 00:00:00","69.000","56.000","0.600","16.600","1.000","1011.800","","0.000","-99.000","-99.000","-99.000","25.300","","15.100",""
"C0T870","2020-03-16 00:00:00","135.000","0.000","0.000","13.300","0.990","1006.300","","1.000","-99.000","-99.000","-99.000","17.200","","13.200",""
"C0A920","2020-03-16 00:00:00","196.000","123.000","2.800","14.600","0.670","997.400","","0.000","9.300","109.000","","18.600","","11.900",""
"C0A940","2020-03-16 00:00:00","49.000","0.000","0.000","11.800","0.860","1016.900","","0.000","-99.000","-99.000","-99.000","20.700","","10.600",""
"C0S740","2020-03-16 00:00:00","289.000","360.000","0.400","14.000","0.930","990.100","","0.000","-99.000","-99.000","-99.000","15.500","","13.100",""
"C0U980","2020-03-16 00:00:00","573.000","92.000","1.100","10.700","0.840","957.300","","0.000","-99.000","-99.000","-99.000","17.500","","7.500",""
"C0V250","2020-03-16 00:00:00","298.000","101.000","1.000","15.500","0.970","985.100","","0.500","-99.000","-99.000","-99.000","24.100","","15.500",""
"C0AH70","2020-03-16 00:00:00","34.000","88.000","2.200","15.300","0.570","1018.200","","0.000","-99.000","-99.000","-99.000","20.500","","14.000",""
"C0M760","2020-03-16 00:00:00","40.000","0.000","0.000","17.900","0.780","1015.400","","0.000","-99.000","-99.000","-99.000","24.600","","14.500",""
"C0O950","2020-03-16 00:00:00","4.000","0.000","0.000","16.800","0.870","1018.500","","0.000","-99.000","-99.000","-99.000","23.700","","16.200",""
"C0A9F0","2020-03-16 00:00:00","35.000","97.000","1.500","16.100","0.570","1018.500","","0.000","-99.000","-99.000","-99.000","20.900","","12.600",""
"C0I460","2020-03-16 00:00:00","110.000","189.000","1.300","16.300","0.870","1007.000","","0.000","-99.000","-99.000","-99.000","23.100","","13.500",""
"C0E420","2020-03-16 00:00:00","19.000","43.000","0.900","14.000","0.730","1016.300","","0.000","-99.000","-99.000","-99.000","21.400","","13.800",""
"C0R190","2020-03-16 00:00:00","32.000","0.000","0.000","17.700","0.990","1015.400","","0.500","-99.000","-99.000","-99.000","24.100","","16.800",""
"C0I010","2020-03-16 00:00:00","1562.000","94.000","1.600","8.700","0.610","851.300","","0.000","-99.000","-99.000","-99.000","14.900","","8.300",""
"C0F930","2020-03-16 00:00:00","100.000","115.000","0.900","16.400","0.820","1007.600","","0.000","-99.000","-99.000","-99.000","23.400","","14.100",""
"C0X180","2020-03-16 00:00:00","62.000","0.000","0.000","17.200","0.940","1011.500","","0.000","-99.000","-99.000","-99.000","25.100","","15.400",""
"C0ACA0","2020-03-16 00:00:00","25.000","79.000","1.100","16.300","0.510","1017.600","","0.000","-99.000","-99.000","-99.000","20.600","","13.600",""
"C0X260","2020-03-16 00:00:00","39.000","0.000","0.000","17.600","0.810","1015.800","","0.000","-99.000","-99.000","-99.000","24.300","","14.800",""
"C0K500","2020-03-16 00:00:00","12.000","4.000","0.900","17.200","0.670","1017.400","","0.000","-99.000","-99.000","-99.000","23.400","","14.600",""
"CM0010","2020-03-16 00:00:00","68.000","144.000","0.400","12.400","0.730","1014.600","","0.000","-99.000","-99.000","-99.000","19.600","","11.400",""
"C0O990","2020-03-16 00:00:00","18.000","0.000","0.000","15.400","0.990","1017.500","","0.000","-99.000","-99.000","-99.000","25.100","","15.400",""
"C0S960","2020-03-16 00:00:00","32.000","21.000","1.000","17.400","0.740","1018.000","","0.000","-99.000","-99.000","-99.000","19.100","","16.800",""
"C0E430","2020-03-16 00:00:00","258.000","176.000","1.600","13.500","0.820","994.000","","0.000","-99.000","-99.000","-99.000","21.700","","10.100",""
"C0D390","2020-03-16 00:00:00","146.000","0.000","0.000","13.700","0.750","1002.200","","0.000","-99.000","-99.000","-99.000","22.300","","10.700",""
"C0T9F0","2020-03-16 00:00:00","251.000","301.000","0.600","14.400","0.750","993.100","","0.500","-99.000","-99.000","-99.000","16.000","","13.000",""
"C0R350","2020-03-16 00:00:00","35.000","52.000","5.600","18.900","0.750","1016.100","","0.000","-99.000","-99.000","-99.000","20.700","","18.100",""
"C0K550","2020-03-16 00:00:00","15.000","0.000","0.000","17.000","0.720","1018.400","","0.000","-99.000","-99.000","-99.000","23.700","","14.700",""
"C0C670","2020-03-16 00:00:00","250.000","92.000","0.500","12.200","0.720","992.200","","0.000","-99.000","-99.000","-99.000","19.200","","12.200",""
"C0A980","2020-03-16 00:00:00","11.000","118.000","0.900","15.900","0.520","1021.200","","0.000","-99.000","-99.000","-99.000","21.600","","12.000",""
"C0M410","2020-03-16 00:00:00","245.000","338.000","1.500","16.400","0.830","987.900","","1.500","-99.000","-99.000","-99.000","23.400","","15.100",""
